index,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,New York,NY,New York,Queens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,409000,415000,419000,425000,420000,419000,405000,410000,419000,409999,439000,439000,449000,439000,449999,469900,497000,548000,529000,539000,530000,549000,549000,558999.5,599000,575000,575000,595000,619000,589900,609999,624000,653000,688888,685000,695000,775000,779000,729000,790000,729000,730000,739000,709000,729000,739000,749000,735000,728000,749000,790000,815000,850000,865000,850000,842500,849000
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,540000,529000,543000,539900,565450,575000,579000,589000,579000,579950,579000,569000,525000,535000,575000,599000,619700,639000,649000,647750,649000,649000,649900,649500,649000,650000,665000,675000,695000,690000,699000,699000,699000,699000,699000,709000,699900,700000,702000,725000,739900,749000,746000,749000,734995,745000
2,Chicago,IL,Chicago,Cook,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219500,215000,208000,232000,249000,259000,260000,265000,265000,259000,250000,249900,239900,229000,224900,239000,250000,255000,259900,259900,255000,249900,249900,248000,240000,237000,235000,249900,265000,274900,275000,275000,270000,269000,270000,269900,265000,251000,255000,275000,290000,299000,299000,299900,299000,290000,294900
3,Houston,TX,Houston,Harris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314900,320000,329900,325000,320000,329700,329000,329900,335000,335000,339000,339900,339000,344000,339900,339000,342500,339000,339000,329900,325000,320000,319000,310990,315000,319900,325000,325000,327990,321945,319900,325000
4,Philadelphia,PA,Philadelphia,Philadelphia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,139900,139000,139900,149900,159000,159500,159500,150000,149000,149000,149000,144000,130000,135000,140450,149900,159900,160000,159900,154945,149999.5,149900,150000,149990,144900,139900,140000,149900,156900,159900,159900,159000,152000,154900,159887.5,154900,149900,152000,154900,167500,179000,184900,182500,184900,179900,189000
5,Phoenix,AZ,Phoenix,Maricopa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189900,189000,195000,200000,208672,214750,216797,215000,215551,219900,219974,211850,200000,216500,225000,230000,238000,240000,240000,235000,239999.5,240000,240000,245000,240000,244900,249900,250000,259000,259500,259894,255000,252900,250000,250000,249900,249900,249900,254900,255000,263700,268519,266000,268500,265000,265000
6,Las Vegas,NV,Las Vegas,Clark,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,170000,171500,175000,179888,180000,184900,182000,193000,195000,195000,189995,190000,194460.5,199900,204900,209900,215000,215000,217500,218990,219950,219900,220000,220000,220000,219900,222900,225000,229900,234999.5,238500,239900,242000,243000,245000,245000,248844,250000,255000,260000,264970,269900,274990,275000,279000
7,San Antonio,TX,San Antonio,Bexar,8,139900,141195,142500,144000,144000,145000,144900,144000,150980,150000,144900,143500,144900,145000,147500,149000,150000,151510.5,149900,147900,140405,139900,135744,130630,134900,134500,135495,135000,136995,140995,140000,141990,140075,144900,159900,159900,160000,167000,169769,172000,175000,177700,178900,179500,182490,185000,183865,187920,187806.5,189900,195100,195021,200000,198995,196145,200000,197000,195000,194900,199950,205000,210992.5,211490,220990,222490,225435,230000,229900,233625,229000,228995,228122.5,228990,217990,222702,224000,224000,225900,225841,225000,221990,225000,227000,220000,224900,229000,234496,239900,240000,244900,244655,240000,240992.5
8,San Diego,CA,San Diego,San Diego,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459900,465000,461500,475000,479900,499900,470000,499000,525000,519900,519000,510000,520000,499000,499900,515000,539999,559000,575000,540000,575000,575000,575000,579900,580000,599000,589000,599000,599900,619000,629000,628000,629000,624888,615000,609000,600000,603500,619000,625000,629900,659888,675000,669000,675000,669000,650000
9,Dallas,TX,Dallas-Fort Worth,Dallas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000,242000,225000,229900,242000,259500,269000,250000,259900,280000,250000,259000,245000,240000,249000,272900,289000,295000,299900,299900,292500,295000,313200,320000,325000,315000,316000,327353,350000,363075,367500,369000,374900,360000,369250,368000,369000,350000,355000,375000,389900,400000,409900,400000,398250,389000,389000
10,San Jose,CA,San Jose,Santa Clara,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000,608650,598000,605000,639250,649000,674000,670000,665000,664950,658000,649999,638000,619888,638944,678000,699000,700000,728000,749000,749000,748000,741880,738000,725000,718884,725000,750000,789000,795000,799000,799000,798888,785000,789000,789888,775000,769000,765000,780000,799969,806302,825000,829000,825000,838500,869999
11,Jacksonville,FL,Jacksonville,Duval,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,139900,139900,143000,147000,149900,154900,155990,159000,159900,159900,155850,156990,145900,149500,154000,155000,159900,160000,161000,162000,165000,169000,162000,165000,162900,163900,159900,164900,170000,174900,178900,175000,172000,169900,169900,169000,167900,169900,175000,179900,185000,190000,190000,194900,191859,195000
12,San Francisco,CA,San Francisco,San Francisco,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866500,889000,859000,889000,895000,899000,922000,925000,899000,875000,929000,949000,948000,925000,950000,998000,998000,1049000,1049000,1025000,998000,998000,1050000,1056000,1050000,1049000,995000,1095000,1100000,1149000,1150000,1149000,1100000,1099888,1149000,1169000,1150000,1150000,1150400,1195000,1195000,1196000,1195000,1189000,1159000,1175000,1195000
13,Indianapolis,IN,Indianapolis,Marion,14,100000,104900,105000,105000,104910.5,104976,103900,103700,109900,109900,109900,104900,104000,104500,104900,107650,109900,110900,110000,109900,109000,109000,104900,99900,99900,99900,100000,104900,105000,105950,104975,104900,104900,100000,104900,102000,100000,104900,109900,113500,115000,116900,116700,115000,115000,115000,114900,110000,109900,112500,118900,120000,124700,124900,124900,124000,119994.5,119900,117000,114500,114000,114900,118900,119999,124900,124900,124900,119900,119900,116000,115000,113400,107500,107895,112997.5,115999,120000,122900,122100,120000,120000,122498.5,120000,118250,119000,119900,125000,132900,139900,144900,140000,140000,146900
14,Austin,TX,Austin,Travis,15,225000,225000,224900,229000,235000,236900,234900,237500,239290.5,235000,234900,229900,228797,229000,230000,239000,239950,235995,235000,229000,219900,219471,214900,209500,209000,210305,222990,227500,229000,225000,225000,221579,219000,219900,255000,264995,264500,270200,275000,284939,289900,289000,290745,285900,287213,295000,299494,298990,305000,318250,327422,345000,349900,350000,341798,345000,341944,340000,336990,345350,349000,349900,355000,365000,366990,365000,355000,359900,359990,364900,355000,360000,364900,364990,369000,372900,370000,384000,385000,375000,376990,375000,376990,369900,365500,375000,389000,399900,399999,399000,399000,390000,389900
