index,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,6,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,464500,449500,455000,459999,480000,495000,499000,499900,499000,499900,499000,489900,468000,475000,499000,509000,529000,550000,558000,559000,559000,559000,559000,550000,550000,550000,565000,575000,585000,589500,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629900,625000,629000,629000,627777
1,Cook,IL,Chicago,17,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223950,229900,232000,230000,229000,225000,219900,210000,199000,190000,205000,224900,228808,233900,234999.5,230000,229900,225900,225000,220000,215000,215000,225000,239900,249788.5,250000,250000,249000,242000,244500,239900,235000,229000,229885,245000,257900,264900,269000,269998,269900,264900,264000
2,Harris,TX,Houston,48,201,3,139900,143900,145000,145000,144900,144000,140000,142900,153000,151900,153900,149900,149500,149900,149999,149990,151497.5,150000,149900,149800,144925,144900,139900,139999,140000,140000,144900,146500,147722,148990,148500,149000,146900,146900,159000,159990,159990,169457.5,173345,176000,179000,179900,179900,180000,184094.5,189900,185000,186990,188950,196594,199900,209999,214900,214783.5,215000,219900,220990,223990,229000,235073,246800,255000,261157.5,269900,259950,250000,268734,269900,271640,274990,274900,279900,282787,269990,276990,275000,275000,278925,275000,274900,269900,268000,265000,260400,260000,265000,269900,274990,275000,274900,269900,269900,274900
3,Maricopa,AZ,Phoenix,4,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,238750,235000,239000,244900,248000,249900,250000,249000,249500,249900,250000,248900,244000,250000,259900,265000,273545.5,275000,274999,268990,275000,275000,277328,279900,279900,280612,284900,285000,288250,289000,289888,287777,284900,284900,284743,284900,285000,285000,289900,291990,297000,299000,295000,295000,292000,294997
4,San Diego,CA,San Diego,6,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,450000,458900,465000,475000,489000,459000,482540,499000,495000,489900,485000,485000,475000,479500,490000,522050,534950,549000,525000,555000,550000,559000,559900,564900,575000,569000,569000,569900,575000,579000,579000,585000,579000,579000,575000,573950,574900,579500,589000,595000,615000,625000,624900,625000,624000,619000
5,Orange,CA,Los Angeles-Long Beach-Anaheim,6,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599800,595000,599000,605000,624900,625000,634900,633317.5,635000,644900,637450,629900,615000,628888,645000,658025,668797.5,685000,690000,685000,684365,688000,689000,679900,689000,680000,689900,698000,699889,700000,709000,709000,705046,704445,715000,710000,714700,719000,729000,748900,750000,759000,749900,750000,750000,765000
6,Kings,NY,New York,36,47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,499000,509500,499000,519000,525000,529000,535000,549000,549000,549000,595000,599000,599000,649000,639000,650000,655000,699000,699999,699000,699000,725000,729000,709000,719000,764000,780000,768500,799000,788000,789450,779000,790000,799000,825000,801000,825000,810000,827835,838000,837500,835000,830000,827085,800500,805000
7,Miami-Dade,FL,Miami-Fort Lauderdale,12,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,269900,269000,269900,265000,270000,270000,270000,269500,274800,280000,280000,298000,299900,297000,309000,315000,310000,290000,295000,318000,320000,329000,330000,350000,359000,359900,360000,351495,369000,370000,369900,372000,370000,375000,375000,375000,377000,376825,379900,379900,380000,384990,388000,389000,384900,388000
8,Dallas,TX,Dallas-Fort Worth,48,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,179075,179900,174900,175000,185000,192500,200000,192525,192000,209000,198000,194500,188000,195000,198000,219900,225000,230555,235000,235000,225000,225000,235000,239000,239900,239500,235990,239777,260000,269900,278000,277000,274900,270000,274900,279000,275000,275000,275000,289000,295000,310000,319000,315000,309500,299900,299900
9,Queens,NY,New York,36,81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,305000,319000,299900,319000,325000,325555,335000,339000,348000,349000,349000,349000,349000,345000,359000,365000,365000,369990,375000,379000,379000,379000,389000,389000,390000,399000,399999,399000,410000,425000,429000,435000,438000,449000,440000,440000,459000,473500,475000,475000,479999,488000,488400,489000,489000,489000,485000,489000,491175,499000,499990,519000,539994.5,549000,549999,550000,558000
10,Riverside,CA,Riverside,6,65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,320000,320000,324900,325000,329900,330000,330690,329900,329972,329000,327800,325000,325000,329900,337500,339000,339900,345900,349000,347500,345000,349000,349900,350000,350000,354800,356990,359000,359998,364900,365000,368250,364900,360000,364900,365000,369000,369900,371740,375000,375000,379000,379900,380000,380000,384998
11,San Bernardino,CA,Riverside,6,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,232000,230000,235000,244900,249850,250000,259000,259900,259900,259900,259000,255000,249969,260000,260000,267500,269000,274900,279900,279900,279900,280000,284900,284900,284900,285000,285000,289000,289900,298000,299900,300000,299900,299500,299000,299000,299000,295945,299900,304999,310000,315000,310000,315000,315000,319794
12,Clark,NV,Las Vegas,32,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,180000,179970,175900,179000,180000,185000,189900,191000,191000,199990,204000,204500,199900,199900,200000,209900,213300,215000,220000,220940,224900,225000,225888,225290,228900,229000,227500,224900,229900,234610,238888,240000,243000,245000,249000,249888,249900,249989,253900,259000,260000,265000,269900,274992.5,279000,279900,284000
13,King,WA,Seattle,53,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388919,379900,370000,377000,389000,399900,399950,420000,424950,419900,419000,400000,388250,350000,371900,399900,419000,439000,449000,450000,449950,450000,450000,450000,450000,449950,449500,450000,474900,489000,499950,500000,499950,495000,499900,499950,499950,495000,498000,504997.5,535000,549000,565000,575000,572000,550000,559950
14,Wayne,MI,Detroit,26,163,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63900,65000,68450,69900,72500,70000,69900,67900,64900,59990,59900,59900,61000,67950,74900,79900,82000,83000,79900,79900,79000,74900,72900,74900,80000,87900,99900,109900,109000,109000,108000
15,Tarrant,TX,Dallas-Fort Worth,48,439,16,144500,144900,145000,146900,145090,145000,144500,144900,155000,149900,142000,138490,135000,134900,139990,144900,147500,149900,147990,145990,144900,144575,138345,134900,134900,136255,137000,138000,138995,140000,139900,135000,134900,139500,160000,161150,163548,167895,169900,173725,177900,179900,178320,176800,175820,175000,174900,175000,173843,179000,181143,188400,189900,185564,189000,192000,191900,192000,189900,196990,199900,202120,215000,216990,210000,209900,209000,208000,209000,209900,209990,210000,214630,210000,219900,225000,229000,230000,231000,230000,230000,235000,234994.5,231445,234900,239900,248900,249900,250695,255000,252100,249900,250000
16,Santa Clara,CA,San Jose,6,85,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,675000,675000,699900,725000,739000,749000,749000,747000,729999.5,738000,729000,699888,695000,715000,769919,799000,829000,849000,850000,849888,840000,845000,848888,832450,828888,838076,870000,899950,900000,901930,899999,899000,898000,899000,898000,875000,850000,849000,888000,923500,929944,958000,949000,950000,987600,995000
17,Broward,FL,Miami-Fort Lauderdale,12,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,219900,215000,214900,215000,209890,209900,219000,214900,210000,213900,214900,209500,205900,209999,220000,230000,225000,224900,229900,245000,249000,252950,250550,249900,249900,249000,247500,245000,260000,265000,269900,275000,276666,279925,279950,280000,278000,274990,279000,280000,288000,295000,298000,299000,295000,298900
