index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,United States,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,182900,188000,189900,196000,199900,199900,199900,199800,199900,199900,199000,198000,195000,199900,204400,210000,215000,218900,218800,217606,215900,215000,211990,207900,210000,215000,219900,224900,229900,229900,229900,229900,229900,229900,229900,228000,227995,229000,234900,239900,241999,245000,244900,240000,242000,241900,239900,239000,238990,240000,249900,254900,259900,259950,259900,259000,259900
1,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369000,375000,369900,369000,364500,365000,365000,369900,369000,369500,372000,379900,389000,395999,399000,399000,399000,398900,399000,395000,395000,399000,399000,399000,399900,399900,409000,419000,409000,409000,410000,405000,399990,419000,419900,419000,429000,429000,429900,429500,425000,429000,429000,429000,425000,429000,432975,439999,449000,459000,459900,459000,449900,450000
2,"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,500000,499000,499900,510000,529000,539900,549000,549900,549000,549000,540000,534900,500000,525000,545000,559000,575000,599000,599900,599000,599000,599000,599000,599000,599000,599000,600000,620000,628000,634970,640000,639900,638000,636000,639900,639900,630000,635000,640000,650000,672990,679000,670000,675000,675000,675000
3,"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,192000,189000,199776,210000,219900,227000,229900,229000,225000,224900,219900,215000,206250,200000,214900,225000,229900,236995,239000,237900,235000,230000,229900,227000,221980,220000,229900,239900,249500,249900,254900,249900,249000,249000,247000,242500,239000,239899,249900,259500,265000,269000,269900,269000,262440,260000
4,"Dallas, TX",4,164900,164900,165000,166000,165000,165500,164900,165000,178900,171900,165000,159900,159000,159000,162990,165000,169900,169900,169900,169000,164500,161971,158000,153000,155000,158000,156894.5,159000,159900,164900,159990,158900,155000,159900,183990,185000,184900,189000,197800,199990,205676,209000,206000,204990,204900,204990,199999,205000,202500,209000,215000,220000,229000,222500,224474,230000,229000,230000,229600,239914.5,245000,250000,265000,265990,259990,259900,255000,255900,259000,264900,265000,274900,275000,269900,279990.5,284900,289000,289000,288000,287900,289900,299900,295000,295000,299500,300000,311061.5,319000,320000,320000,319000,315000,319000
5,"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199400,199900,209900,214900,220000,224900,219000,210000,210000,209999,209000,209900,199900,204900,214999,224500,225000,225000,220000,219900,219900,218475,214500,200000,200000,209999,219900,225000,229900,229500,224900,220000,224000,219500,215700,209900,204000,207000,218000,224900,226000,229900,224900,219900,219900,219900,215000,201500,199999,205500,219900,229900,235000,235000,235000,229900,230000
6,"Houston, TX",6,159000,159900,160000,160000,159900,159900,159000,159900,170990,169900,169900,168990,165900,165900,168615,167900,169500,169854,168500,165900,159900,159900,155000,157500,159000,159900,160673.5,164990,165000,165000,164900,164997,164900,165000,177500,180000,181950,190000,196190,199500,200990,206000,206990,206990,209900,216715,210000,213000,214900,222490,228000,236900,239900,240000,241436.5,247738.5,250000,251442,258000,269900,277600,282495,287950,294962,285990,279500,289900,294700,294000,298692,298990,300990,300000,289900,294992.5,294900,292900,294990,290000,289490,287500,289000,282983,279995,280990,285000,289900,294000,294900,293990,289900,289900,289999
7,"Washington, DC",7,279900,284900,289900,299000,289995,285000,284500,279000,295000,294750,285000,272000,261900,269900,282415,289900,299900,300000,299900,299900,299000,295000,279000,270000,274950,279900,289900,299900,315000,319990,314990,309000,300000,309900,344900,335000,335000,347495,354000,369000,377900,379900,375000,369900,370000,369900,360000,359900,353995,360000,375000,384994.5,394900,391990,389900,385000,385000,384945,379000,369990,365000,369900,380000,389998,396850,395000,375000,384999,389000,385000,379900,377900,379900,379900,390000,409000,409990,409900,400000,399900,399900,399900,399900,397500,395000,399900,417990,425000,429900,429000,425000,419900,419900
8,"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,249990,250000,249900,250000,250000,259000,252521.5,255000,259900,259000,265000,265000,264900,274900,280000,275000,269000,271000,285000,289500,295000,295900,302500,308000,305000,309000,300000,319900,323000,325000,325000,329000,330000,334000,335000,332995,330000,335000,339000,340000,345900,349000,349000,349000,349900
9,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,182768,178000,185000,195942,200000,206990,214900,214900,210000,208000,200402.5,199900,190000,199000,200000,204050,209000,214900,217000,215000,219900,219900,219900,219000,219172,219900,219900,225000,229900,235000,239000,239900,235000,235000,237050,235000,232900,232300,235000,249000,256000,259900,261990,260000,259900,260000
