RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
102001,0,United States,Country,,127090,127434,127795,128532,129274,130015,130770,131575,132398,133225,134061,134916,135714,136448,137194,137991,138812,139617,140428,141267,142098,142934,143699,144431,145098,145794,146529,147306,148134,149006,149950,150937,151914,152895,153819,154741,155583,156440,157320,158271,159288,160302,161360,162478,163660,164841,165908,166927,167941,169106,170407,171829,173402,175076,176858,178610,180319,181943,183463,185007,186523,188115,189768,191666,193642,195701,197737,199786,201767,203607,205253,206727,207974,209180,210440,211804,213105,214198,214997,215601,215937,216180,216257,216300,216283,216301,216310,216327,216169,215819,215211,214568,213784,212969,211943,210906,209669,208329,206830,205263,203683,202015,200225,198183,196189,194270,192376,190487,188647,187205,185852,184594,183294,182105,181039,180011,179059,178319,177980,177838,177767,177660,177670,177836,177907,177696,176983,176038,174920,173832,172717,171706,170754,169898,169088,168238,167355,166513,165849,165267,164756,164217,163769,163364,163136,163027,163195,163518,163994,164445,164907,165346,165833,166412,167119,167915,168884,169969,171207,172459,173791,175147,176506,177767,178967,180119,181196,182226,183248,184300,185170,185883,186533,187201,187787,188191,188571,189058,189700,190428,191163,191981,192884,193822,194754,195557,196264,196941,197664,198422,199154,200021,200988,202038,202957,203945,204901,205871,206739,207571,208442,209380,210435,211522,212615,213735,214896,216137,217323,218461,219456,220454,221546,222750,224014,225309,226599,227967,229298,230614,231830,232941,233973,234949,235924,236888,237861,238852,239870,240810,241618,242316,242961,243561,244112,244670,245303,246015,246750,247576,248559,249702,250986,252205,253052,253757,254855,256769,259275,262091,265113,268154,271383,274736,278389,282245,286948,292471,298349,303739,308359,312452,316333,320662
394913,1,"New York, NY",Msa,NY,223496,224831,226033,228398,230600,232945,235408,237958,240516,243047,245479,247758,249950,252362,254721,257183,259518,262042,264497,267153,269843,272810,275542,278179,280843,283437,285963,288400,290977,293900,297048,300937,305009,309076,312683,316331,320003,323775,327821,331585,335428,339109,343004,346753,350168,353353,356327,359228,362487,365736,369216,372570,376577,380861,385609,390346,395258,400127,404720,408924,412897,416832,420931,425830,431055,436205,440944,445706,450560,455533,459909,464213,467887,471741,474780,477590,479959,482268,483724,484167,483627,482273,480563,478698,477048,475902,475959,475754,475530,473928,472090,470258,468285,467038,465564,464155,462828,461346,459330,457117,453801,450795,447401,444431,441219,437694,434030,430635,426997,423555,420238,416996,414362,411561,409028,406191,404079,402488,401583,401010,400902,401193,401012,400967,400662,401243,401650,401702,400936,399431,397583,395465,394108,393026,392529,391379,390158,388354,386708,385029,383429,381790,380000,378464,377045,375759,374698,373997,373731,373700,373491,373162,372785,372495,372651,373076,373738,374627,375733,377453,379430,381331,383040,384501,386050,387752,389540,391104,392961,394634,396588,398299,399994,401396,402242,402847,403359,403837,404257,404900,405600,406602,407305,408518,409615,410889,411591,411952,412365,412856,414102,415039,415789,416405,417494,419175,420748,421986,422941,423784,424718,425837,427122,428539,430417,432050,434134,435828,438404,440627,442973,444866,446693,448396,450046,451734,453843,456438,459369,462380,464742,466387,467092,467791,468964,470650,472486,474042,475050,475923,476816,477813,478496,478692,478661,478389,477926,477392,477098,477634,478658,480129,481540,483025,483831,484385,485595,488173,492657,498119,504120,509919,514741,519462,523812,528535,534026,541165,549066,556634,562515,567048,570588,573813
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,231337,232142,233376,235722,238237,240612,243044,245596,248027,250251,252309,254477,256143,257947,259870,262551,265180,267604,270084,272669,275350,278008,280323,282759,284768,287135,289955,293541,297620,301782,307019,312475,318028,322987,327911,332777,336873,340657,344843,349523,355355,359968,365990,372283,379743,385897,391879,397855,404888,412596,421332,431380,443703,455837,466593,475470,484407,493199,499002,504971,510292,517699,525475,533466,541156,548376,556876,565930,575229,584677,591061,597663,603251,608710,613679,617830,623059,627000,628248,629680,627909,628061,626837,626881,627041,626739,625644,623713,620241,617034,611075,604621,596706,589213,583561,576462,570115,560552,550105,536061,521688,508435,496407,485782,478247,470759,462674,451918,444243,440076,437097,434064,431049,427369,424833,423166,423269,423940,426837,431643,433582,433067,433332,436285,440033,439274,436684,431974,427852,423746,420021,418696,417981,418382,416618,414846,409924,408718,407525,405542,401130,397024,396576,396800,396181,395441,394764,395278,396360,398036,400634,402676,405074,408745,413112,419563,425901,435120,444154,454015,462131,470600,477981,485747,492274,497460,503199,508260,513947,516426,517401,516689,516714,516855,517702,516261,515801,516288,519475,523257,527853,532794,536659,538070,539983,541947,543141,544555,546573,550886,554252,560074,563988,568263,570048,573278,576411,579317,580068,581696,583957,588517,592251,595081,599538,602599,605959,607529,610712,614483,616039,617740,619943,624718,630651,635838,640752,645930,650958,655509,658062,660929,661362,662240,662690,665950,667804,667293,666131,663981,662637,662206,663175,664193,663257,663982,666697,671001,673014,674826,677804,683904,690870,695997,694086,691184,692926,702104,712725,722695,730190,736530,741668,749163,757038,768091,783767,803587,824502,837956,847074,851836,859045,868350
394463,3,"Chicago, IL",Msa,IL,168878,169276,169792,170824,171917,173001,174201,175546,176936,178304,179547,180761,181899,182906,184047,185170,186552,187832,189124,190432,191752,193164,194336,195396,196300,197353,198623,199690,200885,201980,203447,204945,206395,207727,208681,209832,210943,212292,213506,214895,216090,217181,218192,219493,220958,222344,223572,224669,226001,227269,228570,230027,231636,233500,235183,236901,238346,239865,241380,243110,244706,246404,248060,249959,251934,253948,255797,257553,259443,261297,262894,264427,265915,267389,268885,270177,271602,272414,273104,273563,273920,274070,274151,274415,274993,275544,275904,275847,275531,275037,274385,273698,272608,271543,270525,269292,268047,265016,264424,261737,261610,258430,257459,254072,252003,248315,245368,241432,237095,234074,230881,229616,227356,225984,224398,222964,220500,218324,216184,215547,214430,214140,212632,213211,212441,213195,210677,209288,206563,204859,201948,199449,197186,195431,194319,192746,192060,190610,190182,188814,187671,185228,183820,181566,180480,178349,178202,177880,178335,178213,177402,176581,175617,175965,176353,176662,177389,178461,179442,180735,181966,184038,185702,187751,189345,191508,192479,193813,194551,196041,196814,197275,197944,199039,199910,200120,200448,200701,201156,201685,202175,202807,203700,204975,205933,205980,205945,205770,205789,205782,206009,206856,207933,209739,211069,212030,212489,212856,213478,213926,214381,214883,215901,217389,219234,220916,222697,223977,224934,225078,225156,225315,225961,226857,227989,229414,231004,232348,233143,233623,234072,234503,234911,235207,235850,236349,237118,237732,238262,238998,239460,239963,240021,239949,239910,239841,239838,239730,239738,239950,240427,241030,241556,241682,241516,241486,242490,244143,247006,249841,252622,254830,256350,258656,260755,263775,266508,270301,274437,278525,281576,284217,286894,289595
394514,4,"Dallas-Fort Worth, TX",Msa,TX,130599,130703,130790,131002,131225,131411,131610,131978,132434,132965,133451,133946,134158,133836,133554,133435,133654,133721,133793,134088,134316,134519,134568,134715,134857,135152,135526,136071,136568,137256,137871,138511,138968,139385,139778,140142,140413,140556,140744,140942,141124,141319,141383,141550,141722,141995,142206,142217,142979,144474,146907,148802,149862,150210,150352,150735,151079,151449,151681,151857,152577,152914,153307,153452,153920,154392,154661,154980,155314,155321,155423,155275,155290,155523,155842,156452,157107,157736,158062,158176,158413,159183,159663,160174,159827,159386,158924,159134,159611,160036,160405,160808,161391,161729,161932,162095,161113,159834,158263,157688,157286,157009,156879,156319,155430,154295,153434,152878,152454,152506,152664,152981,153182,153135,153190,152946,152910,152802,153325,153714,153670,153410,153180,153533,153663,153713,153152,152328,151273,150367,149435,148918,148489,147983,147491,146792,146398,145814,145741,145593,145661,145522,145355,144953,144655,145041,145627,146311,146774,147352,148081,148516,148884,149206,149881,150558,151354,152040,152994,153964,155046,156159,157339,158279,159320,160481,161878,163122,164080,165143,166113,167083,167981,169076,169829,170572,171100,172099,173376,174831,176438,178002,179726,181456,183259,185066,186830,188004,189068,190248,191908,193811,195458,197169,198702,200529,202456,204304,206203,207547,209009,210546,212520,214611,216427,218313,219762,221407,222894,224475,225766,227045,228661,230495,232334,233977,235792,237797,239757,241299,242465,243592,244578,245793,246808,247894,248948,250264,251977,253112,253753,253797,253920,253922,253996,254694,255853,256412,256663,256559,257562,258509,259767,260382,260796,261403,262458,264816,267417,270522,272908,275511,277837,281220,285247,290780,297205,304541,312359,320271,327472,333559,339033,344919
394974,5,"Philadelphia, PA",Msa,PA,129467,129900,130161,130809,131333,131926,132470,133050,133693,134360,134966,135502,136046,136699,137449,138228,138949,139709,140582,141547,142576,143510,144502,145270,146089,146862,147851,148958,150090,151364,152706,154410,156212,158007,159506,161033,162451,163885,165213,166748,168458,170329,172350,174453,176578,178492,180277,181776,183254,184683,186331,188190,190458,193061,195991,199121,201907,204228,206160,208324,210687,212731,214668,216699,219406,222448,225642,228679,231450,234179,236545,238757,240351,241928,243475,245322,247162,248864,250243,251132,251586,251814,251787,251599,251266,251219,251728,252301,253148,253503,253721,253219,252570,252126,251733,251239,250266,249903,249785,249935,249224,247987,246241,244431,242492,240663,239042,237564,236186,235237,234830,234604,234065,233197,232018,230931,229883,229461,229414,229499,229677,229713,229897,230105,230433,230572,230113,228950,227248,225365,223490,221998,220884,220205,219590,218634,217254,215628,214161,212979,211816,210748,209775,209050,208294,207581,207291,207273,207215,206732,206041,205369,204962,204639,204558,204480,204776,205096,205648,206257,207157,208093,208985,209551,210164,210603,211171,211514,212101,212668,213039,212890,212904,213074,213357,213224,213050,212973,213149,213475,213796,214051,214404,214906,215182,215280,215325,215588,215795,215821,215798,215812,216068,216442,216723,217135,217559,218315,218822,219356,219790,220484,221201,222205,223288,224210,224883,225462,226095,226577,226909,227391,228049,229068,230096,231231,232150,233361,234826,236325,237303,237809,238278,238809,239602,240334,241384,242387,243420,244167,245027,245681,246309,246535,246966,247414,247886,248299,248803,249679,250602,251599,252100,253124,253933,255249,256865,259467,262618,266285,269793,273462,276682,279790,282880,286195,290533,295351,299868,303479,306335,308781,311255,313529
394692,6,"Houston, TX",Msa,TX,125344,125421,125303,125421,125428,125629,125757,126034,126387,126620,127135,127607,127855,127837,127383,127186,127128,127321,127483,127374,127469,127621,127840,127953,128085,128321,128868,129495,130092,130593,131098,131748,132278,132694,132968,133212,133591,133913,134316,134550,134785,134982,135198,135456,135615,135816,135961,136203,136671,137768,139538,140862,142177,142554,143535,144043,144884,145539,146189,146951,147638,148350,148885,149320,149510,149745,149851,149866,149804,149687,149843,149898,150067,150030,150243,150547,151223,151739,152325,152829,153481,154214,154829,155510,155833,155832,155627,155857,156386,157095,157493,157963,158297,158643,158850,159107,158599,158087,157492,157460,157222,156919,156655,156020,155215,154466,153569,152642,151667,151557,151587,151828,152069,152548,153128,153256,153050,152585,152585,152790,152788,152889,153235,153819,154189,153989,153146,151783,150648,149833,149342,148841,148269,147642,146789,146159,145672,145395,145275,145195,144996,144707,143843,143273,143083,143445,144034,144441,144954,145286,145832,146327,146662,146689,146982,147320,148124,149104,150722,152414,154004,155250,156516,157846,159190,160586,161880,163095,164476,165944,167172,168080,168907,170164,171531,173122,174653,176065,177392,178775,180319,181752,183362,184773,186165,187284,188002,188480,188971,189877,190729,191524,192535,193419,193968,194165,194744,195452,196142,196402,196660,196955,197904,198987,199648,200174,200694,201383,201827,202284,202558,202795,203111,203704,204450,205145,205812,206299,206803,207750,208753,209658,210226,211130,212101,213111,213890,214588,215553,216390,216877,216901,216998,217423,217894,218334,218637,219361,220087,220732,220683,220910,221506,222530,223118,223527,223981,225010,226919,229061,231447,233680,235978,238589,240478,242919,246069,251299,257071,263037,267879,272146,275290,278685
395209,7,"Washington, DC",Msa,DC,191958,192203,192580,193381,194493,195716,197240,198885,200531,202178,203788,205668,207327,208841,210461,212507,214851,217224,219627,222106,224520,226796,229090,231371,233449,235397,237520,240102,243069,246281,249759,253395,256831,259943,262663,265352,267706,270471,273376,276694,279968,283446,287058,290613,294244,297880,301288,304425,307340,310947,315017,320035,325720,332231,339689,347146,354655,360622,365828,370990,376927,382787,388935,396247,404799,413144,420792,427484,434065,439907,444559,448821,452474,456308,460221,463495,465954,466821,467087,466555,464274,461142,458686,457199,455929,454587,453409,452895,451639,448947,445397,441749,438854,435283,431402,426798,422638,418041,412723,406850,400114,393825,387251,381275,375056,369618,364961,361073,356668,352412,348402,345220,343274,341844,340403,338597,336582,335490,335470,336687,338488,339433,340739,342106,343863,344098,343087,341366,339947,338735,337314,336334,335965,336786,337151,337301,336367,335888,334651,333557,331981,331023,331113,331260,331558,332080,333676,335188,336277,337236,338303,339158,339869,341410,343889,346648,349605,352300,354846,357028,359240,361144,363031,364985,367892,370758,373691,375563,377395,379332,381014,382192,382003,381527,381165,380675,380717,380860,381328,381630,381422,382103,382881,383172,382891,382480,382275,381855,381785,382407,383158,384206,385050,385317,385481,386250,387614,388436,388831,389092,390165,391246,392514,394005,396087,398728,400128,400871,400389,400718,401099,402440,403795,405660,407558,408793,409693,410636,412180,413842,415473,416914,418047,418864,419602,420647,421613,423258,424950,426890,428168,428944,429240,429493,429414,430277,431566,433543,435330,436748,437752,438865,440190,442104,443174,444777,447420,451488,456170,460795,465646,470269,474770,479578,485371,492165,499337,506077,511099,514688,517135,519999,522901,526296
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,126632,127098,127516,128338,129013,129699,130418,131176,131980,132769,133627,134551,135436,136384,137523,138793,140262,141742,143483,145414,147437,149497,151256,152911,154388,155836,157197,158697,160276,161952,163726,165765,167675,169508,171113,173189,175242,177395,179574,181899,184310,186492,188646,190885,193321,195709,198050,200089,202441,204624,207133,209631,212903,216497,220416,224537,228681,232760,236524,240648,244588,248901,253566,258747,264587,270807,277741,284419,290853,296429,301341,305741,310147,314033,318454,324023,329481,334179,336944,338863,339898,340154,340694,340628,340101,339208,337287,334924,331924,328786,325057,320979,316540,312809,308027,303492,297106,291473,284543,278758,272421,267060,260731,253839,246440,239122,232472,226553,221084,216361,211384,206919,202102,198303,194834,192001,189379,187559,186156,184656,183756,183315,183418,183118,182377,180907,179464,177878,176511,174543,172951,171517,170181,168941,167835,167123,166135,165019,163880,163192,162825,162738,162857,162958,163365,163432,163892,164318,165142,166000,166918,168274,169979,171703,173190,174784,176976,179547,182338,185248,188018,190205,192702,195377,198522,201465,205075,208593,212009,214295,216401,217419,218932,220107,222032,223482,225012,226660,227714,229178,230370,232163,233252,234461,235412,236642,237654,238874,240469,241956,243907,245691,247658,249208,250417,251669,253028,254934,256926,258661,259966,261350,262985,264862,266345,267651,268486,269730,270971,272324,273529,275121,276584,278385,279468,280956,281871,283577,285401,287007,288725,290206,291943,293039,293897,294668,296589,298269,299933,300112,300661,301071,301355,301883,302194,302315,302243,302834,303596,304025,304779,306854,308811,310461,311493,312332,312979,314358,316694,319472,322033,325095,328445,331498,335376,339062,344822,351118,358571,366066,374275,382545,390282,397603
394347,9,"Atlanta, GA",Msa,GA,153624,154135,154661,155725,156766,157793,158763,159816,160882,162029,163040,164145,165143,166129,166971,167781,168618,169400,170165,170942,171727,172492,173195,173894,174557,175258,175855,176478,176984,177494,177897,178321,178752,179228,179638,179975,180320,180649,181051,181385,181708,182001,182268,182635,182986,183330,183602,183948,184209,184525,184819,185331,185785,186181,186526,187018,187542,188085,188483,188904,189376,189928,190447,191027,191725,192515,193170,193789,194399,195036,195647,196256,196881,197462,197933,198431,198945,199588,200309,200965,201457,201779,201984,202324,202580,202911,203269,203714,204139,204379,204532,204463,204087,203485,202577,201799,200438,199044,197355,196280,195319,194331,193030,191515,189900,188003,185415,182137,178862,176040,173687,171327,169119,167299,166033,165040,163941,162698,161613,160930,160105,159399,158801,158864,158895,158640,157198,155293,152769,150785,148715,146947,145060,143631,142089,140395,138111,136044,134441,133704,133467,133371,133065,131959,131223,130594,131327,132054,133052,134025,135054,135587,135465,135563,136380,137520,138919,140483,142366,144094,145994,147957,149953,152142,154425,156705,158648,160638,162285,163769,164902,166052,167106,167999,168985,169743,170513,171223,172081,173017,173924,174744,175405,176265,177403,178641,179464,180230,181040,181932,182883,183865,185063,186220,187589,189018,190273,191099,191661,192184,192702,193681,194902,196619,197856,199203,200243,201459,202677,204057,205503,206667,208250,209777,211595,213509,215595,217622,219063,220444,221774,223211,224722,226245,227940,229678,231315,232817,233941,235036,236189,237426,238436,238839,239329,240037,241014,241812,242574,243662,244829,246315,247381,248441,248974,249834,251200,253323,256027,258996,262113,265455,268789,272712,276690,281473,286888,293662,301022,308446,315500,322906,330437,338243
