index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,California,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,398500,385000,394500,399900,419900,424900,428500,429000,425000,419900,415000,399900,381000,399000,410000,424900,429900,445000,449000,445000,449000,449900,449900,449000,444000,439950,449900,459999,475000,479900,485000,485000,479900,479900,479888,475000,465000,468888,475000,494900,499900,499999,499900,499950,499900,499950
1,Texas,2,160000,161000,162500,163990,163000,164000,160000,160692,169990,169385,165000,161015,159900,159900,162990,164900,167500,168000,166950,165000,159900,159000,155000,153900,154900,155000,157000,159500,159900,160000,159900,159900,158500,159900,173000,174900,174550,179500,182900,185192,189500,189900,189950,189900,190000,194000,189900,190800,189990,195000,199900,209000,214900,210540,212000,218600,215990,215000,215000,222000,225000,230990,239000,242990,242939,244000,245000,247000,248900,249900,249900,253613,250000,244900,249900,250000,255000,256995,256950,255000,254000,258000,250000,249999,249900,255000,263900,269900,272000,274681,270000,269900,269000
2,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,300000,319000,319900,315000,312900,299900,299000,290000,290000,299000,299900,299990,309000,320000,320000,325000,325000,329000,320000,319000,319000,319990,319999,319500,325000,329900,330000,329788.5,329000,334900,328900,319000,315000,319000,319000,319000,330000,339000,330000,348075,339900,339900,325000,320000,320000,320000,329000,329000,339400,349000,349900,350000,349174.5,345000,339900,329999,339000
3,Florida,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,199999,199900,204900,208000,210000,209500,205000,214900,215000,216000,215000,217000,215000,219900,225000,225000,225000,227990,229000,229900,238900,239900,242000,249000,249900,249500,249921.5,252000,259000,258900,259000,259000,255000,259900,260000,260990,264900,269900,274000,275000,279000,279900,279990,279999,279900,283990
4,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,172500,179900,187987,189900,189700,185900,184900,180000,178000,169900,169900,175000,187500,190000,199900,199900,199500,195000,190000,189900,186900,179900,179900,189000,199500,207300,209900,209900,205000,199900,199500,197500,189900,185000,185000,197900,209876.5,215900,219900,224900,219900,215000,214900
5,Pennsylvania,6,169900,169900,174900,174500,170000,169900,169900,169900,169999,169200,165000,164000,160000,164900,165000,167200,169900,169900,169900,169900,165000,164500,159900,158000,159000,159000,159900,159900,159900,159900,156900,150000,149900,149900,165000,162500,163775,168000,169900,173000,179900,179900,175000,170000,172900,169900,169900,174900,169000,169900,173500,179900,180761,181472,179900,175000,175000,177500,174000,169900,169900,170000,177900,179900,185000,184900,179900,178900,179900,175000,174900,169900,169000,168000,174900,179000,179900,184900,179900,175000,176900,179900,174999,170000,169900,174900,189000,195000,195000,194900,194900,189900,189900
6,Ohio,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124500,128000,129900,134900,135500,134900,132900,129999,129900,127500,124900,125000,129900,132900,135000,139000,139700,139500,137400,135000,133900,130800,129900,129900,129900,134900,139900,143900,144900,144900,139900,139900,139900,138000,134900,134900,136900,144900,149900,154900,155900,155000,155000,154900
7,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121550,119900,118500,119900,124900,130000,137500,139900,139900,139900,138000,134900,129000,124900,124900,129900,133900,139000,142500,145000,145000,144900,142900,139900,139000,134900,130000,130000,139000,144900,149900,150000,152000,150000,149900,149900,149000,145000,144900,149900,155000,162000,169000,169900,169900,169900,169900
8,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,175000,172030,169900,174500,179900,185000,188500,190000,189900,189000,185900,185000,182200,179000,180000,185000,189000,189900,194900,196000,197043,199000,199000,197900,195950,196672,196000,195000,199900,206900,212515,215000,215000,211990,210375,212200,210000,209000,209900,212900,220900,229900,232400,235000,235185,235000,236900
9,North Carolina,10,189900,189900,189900,189000,187500,185000,184000,179900,184900,179000,174900,169900,165500,165000,169900,170000,175000,179000,179000,175000,171595,169900,165000,164900,169900,169900,170000,169900,169000,167000,165700,165000,162900,164720,179900,179900,179900,184000,187000,189900,194000,198990,195000,195000,195000,195000,189900,194000,189000,189900,195000,198555,199900,199900,199900,199900,199900,199000,199000,195900,197000,199900,199900,205000,214000,215000,215000,215000,215000,215000,214900,213000,216000,219000,220161,225000,227900,229000,229000,229000,229000,229000,229000,229000,225000,229900,235000,245000,249000,249900,249900,249000,249900
10,New Jersey,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,268000,270000,278970,284900,289900,289900,289000,285000,283925,280000,279000,275000,269900,275000,284500,295000,299000,299000,299000,295000,295000,289900,285000,279000,275000,279900,285900,295000,298500,299000,300000,299000,299000,290000,288400,279000,274900,278800,288000,299000,299900,299900,299800,295000,295000,289900,280900,275000,272000,275000,289000,299000,299990,300000,299999,299000,299000
11,Virginia,12,230000,231750,234950,235000,234900,232000,230000,229900,235000,229900,224900,219000,210000,212900,220000,224950,229000,229900,227980,225000,224900,219500,209900,199900,199950,200000,209950,215000,219900,219900,218000,214900,207000,209900,227500,225000,225000,229900,235000,245000,249500,249900,249000,245120,245000,240000,237500,235000,235000,238900,249000,259000,264990,266000,265000,264900,264894,259900,257900,249950,249500,255000,265000,274950,279000,279900,270000,274900,274950,274900,269900,266900,264900,259900,275000,286500,289900,289900,285900,279950,279900,278900,274990,269900,269000,274999,289000,299000,299900,299950,299900,295000,297970
